Travel_to_School,Travel_time_to_School
Walk,3
Car,11
Walk,1
Walk,2
Car,5
Car,20
Car,7
Walk,5
Walk,2
Walk,2
Car,8
Car,10
Walk,5
Car,30
Walk,3
Walk,2
Bus,50
Walk,3
Car,4
Car,30
Car,2
Walk,2
Car,17
Car,10
Car,2
Walk,2
Walk,3
Car,25
Walk,3
Car,13
